# Sweep Manifest - 500 expected runs (2 boundaries Ã— 5 modes Ã— 50 seeds)
# Format: boundary,mode,seed,status,path

wrap,passive_persist,14,OK,outputs_sweep50\passive_persist_wrap_seed14\metrics.csv
wrap,active_persist,14,OK,outputs_sweep50\active_persist_wrap_seed14\metrics.csv
wrap,active_random,14,OK,outputs_sweep50\active_random_wrap_seed14\metrics.csv
zero,object_off_tracked,15,OK,outputs_sweep50\object_off_tracked_zero_seed15\metrics.csv
zero,passive_nopersist,15,OK,outputs_sweep50\passive_nopersist_zero_seed15\metrics.csv
zero,passive_persist,15,OK,outputs_sweep50\passive_persist_zero_seed15\metrics.csv
zero,active_persist,15,OK,outputs_sweep50\active_persist_zero_seed15\metrics.csv
zero,active_random,15,OK,outputs_sweep50\active_random_zero_seed15\metrics.csv
wrap,object_off_tracked,15,OK,outputs_sweep50\object_off_tracked_wrap_seed15\metrics.csv
wrap,passive_nopersist,15,OK,outputs_sweep50\passive_nopersist_wrap_seed15\metrics.csv
wrap,passive_persist,15,OK,outputs_sweep50\passive_persist_wrap_seed15\metrics.csv
wrap,active_persist,15,OK,outputs_sweep50\active_persist_wrap_seed15\metrics.csv
wrap,active_random,15,OK,outputs_sweep50\active_random_wrap_seed15\metrics.csv
zero,object_off_tracked,16,OK,outputs_sweep50\object_off_tracked_zero_seed16\metrics.csv
zero,passive_nopersist,16,OK,outputs_sweep50\passive_nopersist_zero_seed16\metrics.csv
zero,passive_persist,16,OK,outputs_sweep50\passive_persist_zero_seed16\metrics.csv
zero,active_persist,16,OK,outputs_sweep50\active_persist_zero_seed16\metrics.csv
zero,active_random,16,OK,outputs_sweep50\active_random_zero_seed16\metrics.csv
wrap,object_off_tracked,16,OK,outputs_sweep50\object_off_tracked_wrap_seed16\metrics.csv
wrap,passive_nopersist,16,OK,outputs_sweep50\passive_nopersist_wrap_seed16\metrics.csv
wrap,passive_persist,16,OK,outputs_sweep50\passive_persist_wrap_seed16\metrics.csv
wrap,active_persist,16,OK,outputs_sweep50\active_persist_wrap_seed16\metrics.csv
wrap,active_random,16,OK,outputs_sweep50\active_random_wrap_seed16\metrics.csv
zero,object_off_tracked,17,OK,outputs_sweep50\object_off_tracked_zero_seed17\metrics.csv
zero,passive_nopersist,17,OK,outputs_sweep50\passive_nopersist_zero_seed17\metrics.csv
zero,passive_persist,17,OK,outputs_sweep50\passive_persist_zero_seed17\metrics.csv
zero,active_persist,17,OK,outputs_sweep50\active_persist_zero_seed17\metrics.csv
zero,active_random,17,OK,outputs_sweep50\active_random_zero_seed17\metrics.csv
wrap,object_off_tracked,17,OK,outputs_sweep50\object_off_tracked_wrap_seed17\metrics.csv
wrap,passive_nopersist,17,OK,outputs_sweep50\passive_nopersist_wrap_seed17\metrics.csv
wrap,passive_persist,17,OK,outputs_sweep50\passive_persist_wrap_seed17\metrics.csv
wrap,active_persist,17,OK,outputs_sweep50\active_persist_wrap_seed17\metrics.csv
wrap,active_random,17,OK,outputs_sweep50\active_random_wrap_seed17\metrics.csv
zero,object_off_tracked,18,OK,outputs_sweep50\object_off_tracked_zero_seed18\metrics.csv
zero,passive_nopersist,18,OK,outputs_sweep50\passive_nopersist_zero_seed18\metrics.csv
zero,passive_persist,18,OK,outputs_sweep50\passive_persist_zero_seed18\metrics.csv
zero,active_persist,18,OK,outputs_sweep50\active_persist_zero_seed18\metrics.csv
zero,active_random,18,OK,outputs_sweep50\active_random_zero_seed18\metrics.csv
wrap,object_off_tracked,18,OK,outputs_sweep50\object_off_tracked_wrap_seed18\metrics.csv
wrap,passive_nopersist,18,OK,outputs_sweep50\passive_nopersist_wrap_seed18\metrics.csv
wrap,passive_persist,18,OK,outputs_sweep50\passive_persist_wrap_seed18\metrics.csv
wrap,active_persist,18,OK,outputs_sweep50\active_persist_wrap_seed18\metrics.csv
wrap,active_random,18,OK,outputs_sweep50\active_random_wrap_seed18\metrics.csv
zero,object_off_tracked,19,OK,outputs_sweep50\object_off_tracked_zero_seed19\metrics.csv
zero,passive_nopersist,19,OK,outputs_sweep50\passive_nopersist_zero_seed19\metrics.csv
zero,passive_persist,19,OK,outputs_sweep50\passive_persist_zero_seed19\metrics.csv
zero,active_persist,19,OK,outputs_sweep50\active_persist_zero_seed19\metrics.csv
zero,active_random,19,OK,outputs_sweep50\active_random_zero_seed19\metrics.csv
wrap,object_off_tracked,19,OK,outputs_sweep50\object_off_tracked_wrap_seed19\metrics.csv
wrap,passive_nopersist,19,OK,outputs_sweep50\passive_nopersist_wrap_seed19\metrics.csv
wrap,passive_persist,19,OK,outputs_sweep50\passive_persist_wrap_seed19\metrics.csv
wrap,active_persist,19,OK,outputs_sweep50\active_persist_wrap_seed19\metrics.csv
wrap,active_random,19,OK,outputs_sweep50\active_random_wrap_seed19\metrics.csv
zero,object_off_tracked,20,OK,outputs_sweep50\object_off_tracked_zero_seed20\metrics.csv
zero,passive_nopersist,20,OK,outputs_sweep50\passive_nopersist_zero_seed20\metrics.csv
zero,passive_persist,20,OK,outputs_sweep50\passive_persist_zero_seed20\metrics.csv
zero,active_persist,20,OK,outputs_sweep50\active_persist_zero_seed20\metrics.csv
zero,active_random,20,OK,outputs_sweep50\active_random_zero_seed20\metrics.csv
wrap,object_off_tracked,20,OK,outputs_sweep50\object_off_tracked_wrap_seed20\metrics.csv
wrap,passive_nopersist,20,OK,outputs_sweep50\passive_nopersist_wrap_seed20\metrics.csv
wrap,passive_persist,20,OK,outputs_sweep50\passive_persist_wrap_seed20\metrics.csv
wrap,active_persist,20,OK,outputs_sweep50\active_persist_wrap_seed20\metrics.csv
wrap,active_random,20,OK,outputs_sweep50\active_random_wrap_seed20\metrics.csv
zero,object_off_tracked,21,OK,outputs_sweep50\object_off_tracked_zero_seed21\metrics.csv
zero,passive_nopersist,21,OK,outputs_sweep50\passive_nopersist_zero_seed21\metrics.csv
zero,passive_persist,21,OK,outputs_sweep50\passive_persist_zero_seed21\metrics.csv
zero,active_persist,21,OK,outputs_sweep50\active_persist_zero_seed21\metrics.csv
zero,active_random,21,OK,outputs_sweep50\active_random_zero_seed21\metrics.csv
wrap,object_off_tracked,21,OK,outputs_sweep50\object_off_tracked_wrap_seed21\metrics.csv
wrap,passive_nopersist,21,OK,outputs_sweep50\passive_nopersist_wrap_seed21\metrics.csv
wrap,passive_persist,21,OK,outputs_sweep50\passive_persist_wrap_seed21\metrics.csv
wrap,active_persist,21,OK,outputs_sweep50\active_persist_wrap_seed21\metrics.csv
wrap,active_random,21,OK,outputs_sweep50\active_random_wrap_seed21\metrics.csv
zero,object_off_tracked,22,OK,outputs_sweep50\object_off_tracked_zero_seed22\metrics.csv
