tag,boundary_mode,observer_mode,mode,seed,final_identity_score,mean_identity_score,final_core_size_delta,mean_recovery_150_250,mean_observer_action_rate
object_off_tracked_zero_seed9,zero,object_off_tracked,object_off_tracked,9,0.15355168013611228,0.6476498301690047,1562.0,1410.43,0.0
passive_nopersist_zero_seed9,zero,passive_nopersist,passive_nopersist,9,0.0,0.00023784843935083095,0.0,18.69,0.0
passive_persist_zero_seed9,zero,passive_persist,passive_persist,9,1.0,0.6898944814901844,156.0,200.93,0.0
active_persist_zero_seed9,zero,active_persist,active_persist,9,0.9069767441860465,0.7101907458805662,-546.0,-286.24,0.049671292914536154
active_random_zero_seed9,zero,active_random,active_random,9,0.0,1.9436345966958212e-05,155.0,3.93,0.049671292914536154
object_off_tracked_wrap_seed9,wrap,object_off_tracked,object_off_tracked,9,0.205607476635514,0.613882794407597,-1811.0,-517.3,0.0
passive_nopersist_wrap_seed9,wrap,passive_nopersist,passive_nopersist,9,0.0,0.0,-5.0,-2.76,0.0
passive_persist_wrap_seed9,wrap,passive_persist,passive_persist,9,0.44366197183098594,0.6845989904686678,-154.0,-238.73,0.0
active_persist_wrap_seed9,wrap,active_persist,active_persist,9,0.9954022988505747,0.6922220911788216,157.0,115.69,0.049671292914536154
active_random_wrap_seed9,wrap,active_random,active_random,9,0.0,0.0004641238712872436,-2.0,9.66,0.049671292914536154
object_off_tracked_zero_seed10,zero,object_off_tracked,object_off_tracked,10,0.5945525291828794,0.6492689726838946,-281.0,-574.27,0.0
passive_nopersist_zero_seed10,zero,passive_nopersist,passive_nopersist,10,0.0,0.0001072463768115942,-12.0,-4.28,0.0
passive_persist_zero_seed10,zero,passive_persist,passive_persist,10,0.9791666666666666,0.6809710934107147,110.0,-34.59,0.0
active_persist_zero_seed10,zero,active_persist,active_persist,10,0.8969957081545065,0.6928127647524144,-474.0,-321.63,0.049671292914536154
active_random_zero_seed10,zero,active_random,active_random,10,0.0,0.00013258625241167272,1.0,8.22,0.049671292914536154
object_off_tracked_wrap_seed10,wrap,object_off_tracked,object_off_tracked,10,0.6232114467408585,0.6113422374387668,-1454.0,-8.51,0.0
passive_nopersist_wrap_seed10,wrap,passive_nopersist,passive_nopersist,10,0.0,0.00013363551109721788,89.0,10.23,0.0
passive_persist_wrap_seed10,wrap,passive_persist,passive_persist,10,0.44731977818853974,0.6705289074848251,157.0,-67.59,0.0
