tag,boundary_mode,observer_mode,seed,metrics_path
seed11_zero_active_persist,zero,active_persist,11,outputs\20251217_110015_seed11_zero_active_persist\metrics.csv
seed11_wrap_off_tracked,wrap,off_tracked,11,outputs\20251217_110015_seed11_wrap_off_tracked\metrics.csv
seed11_wrap_passive_nopersist,wrap,passive_nopersist,11,outputs\20251217_110015_seed11_wrap_passive_nopersist\metrics.csv
seed11_wrap_passive_persist,wrap,passive_persist,11,outputs\20251217_110015_seed11_wrap_passive_persist\metrics.csv
seed11_wrap_active_persist,wrap,active_persist,11,outputs\20251217_110015_seed11_wrap_active_persist\metrics.csv
seed12_zero_off_tracked,zero,off_tracked,12,outputs\20251217_110015_seed12_zero_off_tracked\metrics.csv
seed12_zero_passive_nopersist,zero,passive_nopersist,12,outputs\20251217_110015_seed12_zero_passive_nopersist\metrics.csv
seed12_zero_passive_persist,zero,passive_persist,12,outputs\20251217_110015_seed12_zero_passive_persist\metrics.csv
seed12_zero_active_persist,zero,active_persist,12,outputs\20251217_110015_seed12_zero_active_persist\metrics.csv
seed12_wrap_off_tracked,wrap,off_tracked,12,outputs\20251217_110015_seed12_wrap_off_tracked\metrics.csv
seed12_wrap_passive_nopersist,wrap,passive_nopersist,12,outputs\20251217_110015_seed12_wrap_passive_nopersist\metrics.csv
seed12_wrap_passive_persist,wrap,passive_persist,12,outputs\20251217_110015_seed12_wrap_passive_persist\metrics.csv
seed12_wrap_active_persist,wrap,active_persist,12,outputs\20251217_110015_seed12_wrap_active_persist\metrics.csv
seed13_zero_off_tracked,zero,off_tracked,13,outputs\20251217_110015_seed13_zero_off_tracked\metrics.csv
seed13_zero_passive_nopersist,zero,passive_nopersist,13,outputs\20251217_110015_seed13_zero_passive_nopersist\metrics.csv
seed13_zero_passive_persist,zero,passive_persist,13,outputs\20251217_110015_seed13_zero_passive_persist\metrics.csv
seed13_zero_active_persist,zero,active_persist,13,outputs\20251217_110015_seed13_zero_active_persist\metrics.csv
seed13_wrap_off_tracked,wrap,off_tracked,13,outputs\20251217_110015_seed13_wrap_off_tracked\metrics.csv
seed13_wrap_passive_nopersist,wrap,passive_nopersist,13,outputs\20251217_110015_seed13_wrap_passive_nopersist\metrics.csv
seed13_wrap_passive_persist,wrap,passive_persist,13,outputs\20251217_110015_seed13_wrap_passive_persist\metrics.csv
seed13_wrap_active_persist,wrap,active_persist,13,outputs\20251217_110015_seed13_wrap_active_persist\metrics.csv
seed14_zero_off_tracked,zero,off_tracked,14,outputs\20251217_110015_seed14_zero_off_tracked\metrics.csv
seed14_zero_passive_nopersist,zero,passive_nopersist,14,outputs\20251217_110015_seed14_zero_passive_nopersist\metrics.csv
seed14_zero_passive_persist,zero,passive_persist,14,outputs\20251217_110015_seed14_zero_passive_persist\metrics.csv
seed14_zero_active_persist,zero,active_persist,14,outputs\20251217_110015_seed14_zero_active_persist\metrics.csv
seed14_wrap_off_tracked,wrap,off_tracked,14,outputs\20251217_110015_seed14_wrap_off_tracked\metrics.csv
seed14_wrap_passive_nopersist,wrap,passive_nopersist,14,outputs\20251217_110015_seed14_wrap_passive_nopersist\metrics.csv
seed14_wrap_passive_persist,wrap,passive_persist,14,outputs\20251217_110015_seed14_wrap_passive_persist\metrics.csv
seed14_wrap_active_persist,wrap,active_persist,14,outputs\20251217_110015_seed14_wrap_active_persist\metrics.csv
seed15_zero_off_tracked,zero,off_tracked,15,outputs\20251217_110015_seed15_zero_off_tracked\metrics.csv
seed15_zero_passive_nopersist,zero,passive_nopersist,15,outputs\20251217_110015_seed15_zero_passive_nopersist\metrics.csv
seed15_zero_passive_persist,zero,passive_persist,15,outputs\20251217_110015_seed15_zero_passive_persist\metrics.csv
seed15_zero_active_persist,zero,active_persist,15,outputs\20251217_110015_seed15_zero_active_persist\metrics.csv
seed15_wrap_off_tracked,wrap,off_tracked,15,outputs\20251217_110015_seed15_wrap_off_tracked\metrics.csv
seed15_wrap_passive_nopersist,wrap,passive_nopersist,15,outputs\20251217_110015_seed15_wrap_passive_nopersist\metrics.csv
seed15_wrap_passive_persist,wrap,passive_persist,15,outputs\20251217_110015_seed15_wrap_passive_persist\metrics.csv
seed15_wrap_active_persist,wrap,active_persist,15,outputs\20251217_110015_seed15_wrap_active_persist\metrics.csv
seed16_zero_off_tracked,zero,off_tracked,16,outputs\20251217_110015_seed16_zero_off_tracked\metrics.csv
seed16_zero_passive_nopersist,zero,passive_nopersist,16,outputs\20251217_110015_seed16_zero_passive_nopersist\metrics.csv
seed16_zero_passive_persist,zero,passive_persist,16,outputs\20251217_110015_seed16_zero_passive_persist\metrics.csv
seed16_zero_active_persist,zero,active_persist,16,outputs\20251217_110015_seed16_zero_active_persist\metrics.csv
seed16_wrap_off_tracked,wrap,off_tracked,16,outputs\20251217_110015_seed16_wrap_off_tracked\metrics.csv
seed16_wrap_passive_nopersist,wrap,passive_nopersist,16,outputs\20251217_110015_seed16_wrap_passive_nopersist\metrics.csv
seed16_wrap_passive_persist,wrap,passive_persist,16,outputs\20251217_110015_seed16_wrap_passive_persist\metrics.csv
seed16_wrap_active_persist,wrap,active_persist,16,outputs\20251217_110015_seed16_wrap_active_persist\metrics.csv
seed17_zero_off_tracked,zero,off_tracked,17,outputs\20251217_110015_seed17_zero_off_tracked\metrics.csv
seed17_zero_passive_nopersist,zero,passive_nopersist,17,outputs\20251217_110015_seed17_zero_passive_nopersist\metrics.csv
seed17_zero_passive_persist,zero,passive_persist,17,outputs\20251217_110015_seed17_zero_passive_persist\metrics.csv
seed17_zero_active_persist,zero,active_persist,17,outputs\20251217_110015_seed17_zero_active_persist\metrics.csv
seed17_wrap_off_tracked,wrap,off_tracked,17,outputs\20251217_110015_seed17_wrap_off_tracked\metrics.csv
seed17_wrap_passive_nopersist,wrap,passive_nopersist,17,outputs\20251217_110015_seed17_wrap_passive_nopersist\metrics.csv
seed17_wrap_passive_persist,wrap,passive_persist,17,outputs\20251217_110015_seed17_wrap_passive_persist\metrics.csv
seed17_wrap_active_persist,wrap,active_persist,17,outputs\20251217_110015_seed17_wrap_active_persist\metrics.csv
seed18_zero_off_tracked,zero,off_tracked,18,outputs\20251217_110015_seed18_zero_off_tracked\metrics.csv
seed18_zero_passive_nopersist,zero,passive_nopersist,18,outputs\20251217_110015_seed18_zero_passive_nopersist\metrics.csv
seed18_zero_passive_persist,zero,passive_persist,18,outputs\20251217_110015_seed18_zero_passive_persist\metrics.csv
seed18_zero_active_persist,zero,active_persist,18,outputs\20251217_110015_seed18_zero_active_persist\metrics.csv
seed18_wrap_off_tracked,wrap,off_tracked,18,outputs\20251217_110015_seed18_wrap_off_tracked\metrics.csv
seed18_wrap_passive_nopersist,wrap,passive_nopersist,18,outputs\20251217_110015_seed18_wrap_passive_nopersist\metrics.csv
seed18_wrap_passive_persist,wrap,passive_persist,18,outputs\20251217_110015_seed18_wrap_passive_persist\metrics.csv
seed18_wrap_active_persist,wrap,active_persist,18,outputs\20251217_110015_seed18_wrap_active_persist\metrics.csv
seed19_zero_off_tracked,zero,off_tracked,19,outputs\20251217_110015_seed19_zero_off_tracked\metrics.csv
seed19_zero_passive_nopersist,zero,passive_nopersist,19,outputs\20251217_110015_seed19_zero_passive_nopersist\metrics.csv
seed19_zero_passive_persist,zero,passive_persist,19,outputs\20251217_110015_seed19_zero_passive_persist\metrics.csv
seed19_zero_active_persist,zero,active_persist,19,outputs\20251217_110015_seed19_zero_active_persist\metrics.csv
seed19_wrap_off_tracked,wrap,off_tracked,19,outputs\20251217_110015_seed19_wrap_off_tracked\metrics.csv
seed19_wrap_passive_nopersist,wrap,passive_nopersist,19,outputs\20251217_110015_seed19_wrap_passive_nopersist\metrics.csv
seed19_wrap_passive_persist,wrap,passive_persist,19,outputs\20251217_110015_seed19_wrap_passive_persist\metrics.csv
seed19_wrap_active_persist,wrap,active_persist,19,outputs\20251217_110015_seed19_wrap_active_persist\metrics.csv
